ID,Date,Element,Data_Value
SPE00120512,2012-08-20,TMAX,417
SPE00120512,2015-02-05,TMAX,131
SPE00120512,2006-08-09,TMAX,375
SPE00120512,2015-02-05,TMIN,21
SPE00120512,2015-03-22,TMAX,188
SPE00120512,2012-04-02,TMAX,167
SPE00120512,2011-05-25,TMAX,345
SPE00120512,2011-04-03,TMAX,184
SPE00120512,2006-04-17,TMAX,225
SPE00120512,2014-07-16,TMAX,406
SPE00120512,2014-08-27,TMIN,220
SPE00120512,2007-04-05,TMAX,179
SPE00120512,2011-01-09,TMAX,166
SPE00120512,2015-06-13,TMIN,147
SPE00120512,2014-04-13,TMIN,112
SPE00120512,2012-11-24,TMIN,128
SPE00120512,2013-01-13,TMIN,65
SPE00120512,2014-04-13,TMAX,289
SPE00120512,2005-12-05,TMAX,196
SPE00120512,2011-04-29,TMAX,200
SPE00120512,2013-08-02,TMIN,222
SPE00120512,2011-04-29,TMIN,154
SPE00120512,2013-01-13,TMAX,143
SPE00120512,2011-06-22,TMIN,220
SPE00120512,2007-04-05,TMIN,81
SPE00120512,2012-02-11,TMIN,5
SPE00120512,2015-09-19,TMIN,171
SPE00120512,2006-04-17,TMIN,116
SPE00120512,2009-01-23,TMIN,140
SPE00120512,2013-04-01,TMIN,112
SPE00120512,2006-07-28,TMAX,372
SPE00120512,2015-12-23,TMIN,56
SPE00120512,2013-04-01,TMAX,182
SPE00120512,2011-09-25,TMIN,156
SPE00120512,2011-09-14,TMAX,369
SPE00120512,2011-09-25,TMAX,325
SPE00120512,2012-02-11,TMAX,158
SPE00120512,2015-06-16,TMIN,150
SPE00120512,2014-06-09,TMAX,320
SPE00120512,2010-08-31,TMIN,241
SPE00120512,2011-05-25,TMIN,207
SPE00120512,2013-11-10,TMIN,97
SPE00120512,2012-07-10,TMIN,166
SPE00120512,2005-02-17,TMIN,19
SPE00120512,2010-09-05,TMIN,233
SPE00120512,2010-09-05,TMAX,384
SPE00120512,2011-02-08,TMAX,165
SPE00120512,2012-03-07,TMIN,44
SPE00120512,2008-10-08,TMIN,154
SPE00120512,2011-07-05,TMIN,200
SPE00120512,2012-03-07,TMAX,206
SPE00120512,2005-12-05,TMIN,135
SPE00120512,2006-02-14,TMAX,190
SPE00120512,2013-07-22,TMAX,358
SPE00120512,2009-05-05,TMIN,143
SPE00120512,2008-07-09,TMAX,365
SPE00120512,2012-05-31,TMAX,383
SPE00120512,2007-07-24,TMIN,202
SPE00120512,2005-05-19,TMAX,340
SPE00120512,2013-07-22,TMIN,198
SPE00120512,2006-10-20,TMAX,222
SPE00120512,2013-07-16,TMAX,372
SPE00120512,2011-01-28,TMAX,168
SPE00120512,2014-06-23,TMIN,165
SPE00120512,2009-03-18,TMIN,128
SPE00120512,2013-08-22,TMAX,399
